201401;2014;201401
201402;2014;201402
201403;2014;201403
201404;2014;201404
201405;2014;201405
201406;2014;201406
201407;2014;201407
201408;2014;201408
201409;2014;201409
201410;2014;201410
201411;2014;201411
201412;2014;201412
201501;2015;201501
201502;2015;201502
201503;2015;201503
201504;2015;201504
201505;2015;201505
201506;2015;201506
201507;2015;201507
201508;2015;201508
201509;2015;201509
201510;2015;201510
201511;2015;201511
201512;2015;201512
201601;2016;201601
201602;2016;201602
201603;2016;201603
201604;2016;201604
201605;2016;201605
201606;2016;201606
201607;2016;201607
201608;2016;201608
201609;2016;201609
201610;2016;201610
201611;2016;201611
201612;2016;201612
201601;2016;201601
201602;2016;201602
201603;2016;201603
201604;2016;201604
201605;2016;201605
201606;2016;201606
201607;2016;201607
201608;2016;201608
201609;2016;201609
201610;2016;201610
201611;2016;201611
201612;2016;201612
201701;2017;201701
201702;2017;201702
201703;2017;201703
201704;2017;201704
201705;2017;201705
201706;2017;201706
201707;2017;201707
201708;2017;201708
201709;2017;201709
201710;2017;201710
201711;2017;201711
201712;2017;201712
