201401;2014;201401;201401
201402;2014;2014Q1;201402
201403;2014;2014Q1;201403
201404;2014;2014Q2;201404
201405;2014;2014Q2;201405
201406;2014;2014Q2;201406
201407;2014;2014Q3;201407
201408;2014;2014Q3;201408
201409;2014;2014Q3;201409
201410;2014;2014Q4;201410
201411;2014;2014Q4;201411
201412;2014;2014Q4;201412
201501;2015;2015Q1;201501
201502;2015;2015Q1;201502
201503;2015;2015Q1;201503
201504;2015;2015Q2;201504
201505;2015;2015Q2;201505
201506;2015;2015Q2;201506
201507;2015;2015Q3;201507
201508;2015;2015Q3;201508
201509;2015;2015Q3;201509
201510;2015;2015Q4;201510
201511;2015;2015Q4;201511
201512;2015;2015Q4;201512
201601;2016;2016Q1;201601
201602;2016;2016Q1;201602
201603;2016;2016Q1;201603
201604;2016;2016Q2;201604
201605;2016;2016Q2;201605
201606;2016;2016Q2;201606
201607;2016;2016Q3;201607
201608;2016;2016Q3;201608
201609;2016;2016Q3;201609
201610;2016;2016Q4;201610
201611;2016;2016Q4;201611
201612;2016;2016Q4;201612
201701;2017;2017Q1;201701
201702;2017;2017Q1;201702
201703;2017;2017Q1;201703
201704;2017;2017Q2;201704
201705;2017;2017Q2;201705
201706;2017;2017Q2;201706
201707;2017;2017Q3;201707
201708;2017;2017Q3;201708
201709;2017;2017Q3;201709
201710;2017;2017Q4;201710
201711;2017;2017Q4;201711
201712;2017;2017Q4;201712
